Time	Ampl		
-0.025804136	8.32		
-0.025803136	8.32		
-0.025802136	8.36		
-0.025801136	8.34		
-0.025800136	8.3		
-0.025799136	8.34		
-0.025798136	8.34		
-0.025797136	8.32		
-0.025796136	8.3		
-0.025795136	8.4		
-0.025794136	8.32		
-0.025793136	8.32		
-0.025792136	8.3		
-0.025791136	8.26		
-0.025790136	8.36		
-0.025789136	8.32		
-0.025788136	8.4		
-0.025787136	8.32		
-0.025786136	8.28		
-0.025785136	8.3		
-0.025784136	8.34		
-0.025783136	8.3		
-0.025782136	8.34		
-0.025781136	8.4		
-0.025780136	8.44		
-0.025779136	8.36		
-0.025778136	8.38		
-0.025777136	8.34		
-0.025776136	8.28		
-0.025775136	8.3		
-0.025774136	8.28		
-0.025773136	8.32		
-0.025772136	8.28		
-0.025771136	8.28		
-0.025770136	8.34		
-0.025769136	8.3		
-0.025768136	8.32		
-0.025767136	8.34		
-0.025766136	8.3		
-0.025765136	8.36		
-0.025764136	8.34		
-0.025763136	8.36		
-0.025762136	8.36		
-0.025761136	8.36		
-0.025760136	8.32		
-0.025759136	8.34		
-0.025758136	8.36		
-0.025757136	8.28		
-0.025756136	8.28		
-0.025755136	8.36		
-0.025754136	8.32		
-0.025753136	8.34		
-0.025752136	8.32		
-0.025751136	8.24		
-0.025750136	8.32		
-0.025749136	8.34		
-0.025748136	8.3		
-0.025747136	8.26		
-0.025746136	8.36		
-0.025745136	8.36		
-0.025744136	8.26		
-0.025743136	8.38		
-0.025742136	8.26		
-0.025741136	8.34		
-0.025740136	8.26		
-0.025739136	8.36		
-0.025738136	8.32		
-0.025737136	8.34		
-0.025736136	8.36		
-0.025735136	8.32		
-0.025734136	8.3		
-0.025733136	8.26		
-0.025732136	8.36		
-0.025731136	8.32		
-0.025730136	8.3		
-0.025729136	8.4		
-0.025728136	8.32		
-0.025727136	8.32		
-0.025726136	8.38		
-0.025725136	8.3		
-0.025724136	8.32		
-0.025723136	8.14		
-0.025722136	2.02		
-0.025721136	1.84		
-0.025720136	1.9		
-0.025719136	1.94		
-0.025718136	2.02		
-0.025717136	2		
-0.025716136	2.02		
-0.025715136	2		
-0.025714136	2.02		
-0.025713136	2		
-0.025712136	2.06		
-0.025711136	2.08		
-0.025710136	2.04		
-0.025709136	2		
-0.025708136	2.04		
-0.025707136	2		
-0.025706136	2.02		
-0.025705136	2.1		
-0.025704136	2		
-0.025703136	1.96		
-0.025702136	2.08		
-0.025701136	2		
-0.025700136	2.08		
-0.025699136	2.02		
-0.025698136	1.98		
-0.025697136	2.08		
-0.025696136	2		
-0.025695136	1.96		
-0.025694136	1.98		
-0.025693136	2		
-0.025692136	2.02		
-0.025691136	2.08		
-0.025690136	2.06		
-0.025689136	2		
-0.025688136	2.08		
-0.025687136	2.02		
-0.025686136	2.06		
-0.025685136	1.96		
-0.025684136	2.02		
-0.025683136	1.98		
-0.025682136	2.02		
-0.025681136	2		
-0.025680136	2		
-0.025679136	2.06		
-0.025678136	2		
-0.025677136	1.92		
-0.025676136	2.02		
-0.025675136	1.98		
-0.025674136	2.04		
-0.025673136	2.06		
